,outputs,gt,train_loss,error,outputs_b,gt,train_loss,error
152,1232.381804,1228.3,622.149231,-0.003312126,1033.261968,999.1035,4497.979492,-0.033058865
153,1239.10494,1228.3,281.9184265,-0.008719956,1020.99092,997.59,4714.528809,-0.022919812
154,1237.681521,1228.3,234.4789276,-0.007579915,1029.899712,1000.604625,5051.362305,-0.028444602
155,1241.79125,1222.25,252.5857697,-0.015736341,1008.706853,999.877375,3662.074219,-0.008753265
156,1227.759336,1230.75,209.6357727,0.002435872,995.1889813,1001.2,615.381958,0.006040078
157,1226.747575,1224.4,64.48600769,-0.001913658,999.5550387,1012.325988,12.68429375,0.012776634
158,1226.543683,1240.55,57.82222366,0.011419338,1002.098339,1035.208125,146.7126312,0.033040456
159,1229.089077,1241.95,286.5980225,0.010463784,1009.474274,1035.2,997.956543,0.025484281
160,1228.645913,1241.95,471.1559143,0.010828252,968.1061677,1056.637138,1339.314453,0.091447584
161,1232.646755,1241.95,418.7039185,0.007547373,1026.265914,1052.779286,3615.353027,0.025834798
162,1241.114371,1237.3,366.758606,-0.003073344,1050.060879,1050.87,1373.901245,0.000770547
163,1250.686537,1233.2,51.31321335,-0.013981551,1070.153621,1123.788429,472.3134155,0.050118793
164,1239.372662,1236.65,132.6555023,-0.002196807,1063.536939,1123.223188,5081.654297,0.056120523
165,1236.816619,1247.9,93.33476257,0.008961216,1103.896502,1130.01,6472.434082,0.023655748
166,1238.498934,1253.65,213.2734375,0.012233411,1098.070808,1174.86625,7159.476563,0.069936694
167,1243.253993,1253.65,492.6062927,0.008361933,1121.401296,1150.605714,8483.689453,0.026042789
168,1248.404277,1253.65,589.4330444,0.004201943,1212.748858,1150.37,2328.960693,-0.051435924
169,1252.008602,1257.2,340.7786255,0.004146456,1145.564093,1190.75195,3939.441895,0.039445944
170,1259.841836,1255.6,73.96778107,-0.003366959,1165.995418,1187.565286,2444.586426,0.018499102
171,1260.166948,1240.4,22.45149994,-0.015685976,1216.767996,1190.89,1691.830322,-0.021267814
172,1251.874747,1238.1,294.5363159,-0.011003295,1172.562447,1259.410817,2954.482422,0.07406716
173,1247.248773,1226.5,554.1654053,-0.016635633,1197.830043,1285.14,6808.887695,0.072890104
174,1243.163285,1226.5,1038.148193,-0.013403939,1241.303006,1287,9476.944336,0.03681373
