,outputs,gt
195,"[1248.8587473315129, 1255.9289959950984, 1253.383884754323, 1248.4493928078446, 1251.537991674646]",1247.5
196,"[1256.6039227396395, 1253.9924323881569, 1248.9336103036185, 1252.144008036208, 1253.1295663401834]",1247.5
197,"[1254.3621470382204, 1249.1649983689422, 1252.4574391028145, 1253.5314430379367, 1252.5921921267]",1257.55
198,"[1249.162913791777, 1252.5375464253011, 1253.6404366439965, 1252.7373680364108, 1257.1994054836978]",1257.25
199,"[1252.673639534507, 1253.7946953542123, 1252.8707809749758, 1257.4403135018656, 1247.53242782499]",1251.1
200,"[1253.9662262752245, 1253.005980693968, 1257.692015158682, 1247.4087507154763, 1246.54128696493]",1248.8
201,"[1253.1562191482226, 1257.9732494101336, 1247.4259905549843, 1246.481022482476, 1246.4975127637445]",1244.85
202,"[1258.2970585695875, 1247.4829569811845, 1246.5119042819424, 1246.5008108199982, 1249.1070248186588]",1244.85
203,"[1247.207419372353, 1246.220326126786, 1246.2083331949543, 1248.934926246875, 1249.4107421338558]",1244.85
204,"[1245.8930689994304, 1245.8861730636272, 1248.6845737948897, 1249.232689589262, 1245.130015448005]",1247.25
205,"[1245.7320638895908, 1248.598074774054, 1249.1619481742382, 1244.9634230082665, 1251.0418605727318]",1257.65
206,"[1248.578286436532, 1249.1463610827923, 1244.8429156749553, 1251.1216541244357, 1264.8106737692433]",1245.8
207,"[1249.2638637721539, 1244.8414242475628, 1251.2758819594455, 1265.3868300330505, 1261.6928632924973]",1252.5
208,"[1244.8417225330413, 1251.4396373827185, 1265.8953707686305, 1262.3060506770853, 1260.3862794155575]",1266.45
209,"[1251.624681011017, 1266.4457401791005, 1262.7739621263026, 1260.8981184695876, 1265.1813284230593]",1266.45
210,"[1266.9910121883295, 1263.1856522383023, 1261.265131358945, 1265.6288112062903, 1259.1291388771206]",1266.45
211,"[1263.287150492426, 1261.2978146963142, 1265.7654414083227, 1259.012437058147, 1265.3309422685998]",1250.05
212,"[1261.7241973177734, 1266.3143777780351, 1259.3959074594313, 1265.8400218721945, 1272.5034994712041]",1252.9
213,"[1266.7295524250949, 1259.6486355900415, 1266.238136615575, 1273.3323390393343, 1278.5667100168648]",1274.3
214,"[1259.4757719642657, 1266.2385895333719, 1273.4976540351636, 1279.1716572207806, 1288.6597983021347]",1284.15
215,"[1266.2311918760242, 1273.614657799335, 1279.4162328310485, 1289.2917372606753, 1290.7927382003545]",1284.15
216,"[1273.7233580705652, 1279.5990606483538, 1289.692775445903, 1291.3136783292866, 1280.9158480685]",1284.15
217,"[1280.3222193972324, 1290.6264044937852, 1292.3007550120237, 1281.6312031147827, 1280.7453905799412]",1284.15
218,"[1291.6209488114691, 1293.3365119654045, 1282.4364176543604, 1281.476972383105, 1280.7915449874854]",1284.15
219,"[1293.840613007007, 1282.6880854686315, 1281.7062901360114, 1280.952587895401, 1281.08821908971]",1278.95
220,"[1282.6518048895668, 1281.656385204471, 1280.8847722982464, 1280.9816735916975, 1281.6272229668684]",1279.05
221,"[1281.593009003067, 1280.8131296357897, 1280.9111025075254, 1281.607169144685, 1281.8690169526599]",1282.1
222,"[1280.7313835209352, 1280.839919092905, 1281.5520594043337, 1281.8564641784687, 1279.269214951586]",1281.85
223,"[1280.7593976389471, 1281.48210065061, 1281.7940064727372, 1279.1135299350935, 1275.666415676118]",1281.85
224,"[1281.396068222617, 1281.7084332925806, 1278.9685607014471, 1275.3685169129967, 1269.1156039922353]",1281.85
225,"[1281.7750242288384, 1278.9751432537669, 1275.2947310939708, 1268.7463468352653, 1267.4144381041333]",1269.4
226,"[1278.9864713670613, 1275.2312018099547, 1268.537416978652, 1266.9965783909065, 1266.3299744628748]",1267.8
227,"[1275.0641886801677, 1268.2396881120221, 1266.6644609231516, 1265.949865791772, 1266.021773317916]",1261.85
228,"[1267.9092518647667, 1266.3329548083057, 1265.6033815306582, 1265.6593117340526, 1266.8093479398522]",1262.8
